ds,Open,High,Low,Close,Volume
2019-08-23 09:35:00,137.1924,137.7183,137.1178,137.2491,1020605.0
2019-08-23 09:40:00,137.28,137.52,137.15,137.262,382505.0
2019-08-23 09:45:00,137.25,137.47,137.155,137.215,240046.0
2019-08-23 09:50:00,137.2,137.28,136.525,136.55,348050.0
2019-08-23 09:55:00,136.545,136.62,136.33,136.43,353626.0
2019-08-23 10:00:00,136.43,136.68,136.42,136.66,258573.0
2019-08-23 10:05:00,136.69,136.72,136.63,136.71,225244.0
2019-08-23 10:10:00,137.25,137.47,137.11,137.11,805489.0
2019-08-23 10:15:00,137.1127,137.398,136.8676,137.2927,336155.0
2019-08-23 10:20:00,137.3555,137.6618,137.3515,137.4055,259976.0
2019-08-23 10:25:00,137.35,137.6,137.315,137.51,198114.0
2019-08-23 10:30:00,137.38,137.55,137.33,137.4464,209821.0
2019-08-23 10:35:00,137.47,137.73,137.35,137.64,179501.0
2019-08-23 10:40:00,137.6788,138.18,137.61,138.17,388551.0
2019-08-23 10:45:00,138.18,138.2832,138.03,138.03,306961.0
2019-08-23 10:50:00,138.04,138.12,137.87,137.9201,259288.0
2019-08-23 10:55:00,137.96,138.35,137.95,138.24,253571.0
2019-08-23 11:00:00,138.23,138.29,137.73,137.85,403104.0
2019-08-23 11:05:00,137.8627,138.0984,136.3072,136.5027,1024044.0
2019-08-23 11:10:00,136.48,136.655,135.39,135.39,841022.0
2019-08-23 11:15:00,135.4251,136.0474,135.1866,135.6351,599021.0
2019-08-23 11:20:00,135.6143,136.2235,135.5629,136.0643,421490.0
2019-08-23 11:25:00,136.06,136.06,135.5,135.53,304341.0
2019-08-23 11:30:00,135.52,135.8,135.32,135.43,456646.0
2019-08-23 11:35:00,135.4722,135.7074,134.9568,134.9972,645338.0
2019-08-23 11:40:00,134.9936,135.2509,134.8706,134.9218,343823.0
2019-08-23 11:45:00,134.9123,135.2515,134.8811,135.1244,340099.0
2019-08-23 11:50:00,135.11,135.125,134.71,134.739,407948.0
2019-08-23 11:55:00,134.74,134.87,134.6,134.71,389145.0
2019-08-23 12:00:00,134.71,134.84,134.31,134.31,405772.0
2019-08-23 12:05:00,134.325,134.4859,134.2156,134.272,482887.0
2019-08-23 12:10:00,134.2643,134.3917,133.9993,134.1943,554728.0
2019-08-23 12:15:00,134.1748,134.6149,134.1745,134.4648,416152.0
2019-08-23 12:20:00,134.45,134.52,134.23,134.2549,389096.0
2019-08-23 12:25:00,134.2622,134.3863,133.9959,134.0022,418287.0
2019-08-23 12:30:00,134.05,134.08,133.78,133.83,329878.0
2019-08-23 12:35:00,133.82,134.27,133.79,134.24,291158.0
2019-08-23 12:40:00,134.24,134.36,134.18,134.27,238297.0
2019-08-23 12:45:00,134.27,134.37,134.15,134.21,273190.0
2019-08-23 12:50:00,134.2,134.2,134.01,134.0168,254493.0
2019-08-23 12:55:00,134.02,134.09,133.87,133.89,339815.0
2019-08-23 13:00:00,133.89,134.3,133.84,134.23,434686.0
2019-08-23 13:05:00,134.23,134.23,133.91,133.93,400950.0
2019-08-23 13:10:00,133.9302,134.015,133.73,133.75,400161.0
2019-08-23 13:15:00,133.7422,133.9759,133.6757,133.7522,600136.0
2019-08-23 13:20:00,133.75,133.75,133.25,133.29,540699.0
2019-08-23 13:25:00,133.29,133.369,133.17,133.2365,365422.0
2019-08-23 13:30:00,133.235,133.31,133.13,133.21,357525.0
2019-08-23 13:35:00,133.21,133.5438,133.17,133.44,276665.0
2019-08-23 13:40:00,133.4463,133.68,133.41,133.61,246346.0
2019-08-23 13:45:00,133.6354,133.8881,133.5478,133.7254,353651.0
2019-08-23 13:50:00,133.71,134.1266,133.63,133.9502,420184.0
2019-08-23 13:55:00,133.96,134.2,133.8684,134.14,224372.0
2019-08-23 14:00:00,134.14,134.19,133.98,134.11,169982.0
2019-08-23 14:05:00,133.94,134.01,133.91,133.98,72388.0
2019-08-23 14:10:00,133.91,133.98,133.72,133.8,403165.0
2019-08-23 14:15:00,133.81,133.83,133.67,133.69,138608.0
2019-08-23 14:20:00,133.7097,133.86,133.613,133.68,157113.0
2019-08-23 14:25:00,133.69,133.7987,133.62,133.775,101947.0
2019-08-23 14:30:00,133.77,133.83,133.66,133.78,143368.0
2019-08-23 14:35:00,133.7861,133.97,133.78,133.94,157124.0
2019-08-23 14:40:00,133.94,133.94,133.5816,133.59,198491.0
2019-08-23 14:45:00,133.61,133.72,133.5,133.53,211099.0
2019-08-23 14:50:00,133.5222,133.7657,133.5155,133.5322,281727.0
2019-08-23 14:55:00,133.53,133.77,133.51,133.51,261324.0
2019-08-23 15:00:00,133.5,133.75,133.48,133.68,205307.0
2019-08-23 15:05:00,133.6843,133.8601,133.6499,133.7143,221764.0
2019-08-23 15:10:00,133.7,133.99,133.69,133.78,380235.0
2019-08-23 15:15:00,133.7956,133.9487,133.4157,133.4856,386577.0
2019-08-23 15:20:00,133.47,133.71,133.415,133.57,309980.0
2019-08-23 15:25:00,133.59,133.6,133.35,133.4,364474.0
2019-08-23 15:30:00,133.39,133.46,133.175,133.24,446584.0
2019-08-23 15:35:00,133.25,133.49,133.16,133.365,577133.0
2019-08-23 15:40:00,133.3622,133.5255,133.3454,133.3722,447506.0
2019-08-23 15:45:00,133.36,133.48,133.28,133.33,631406.0
2019-08-23 15:50:00,133.345,133.58,133.22,133.24,731260.0
2019-08-23 15:55:00,133.24,133.36,132.93,132.95,1472686.0
2019-08-23 16:00:00,132.95,135.31,132.81,133.4,2800483.0
2019-08-26 09:35:00,134.9922,135.3972,134.7466,134.9422,1222003.0
2019-08-26 09:40:00,134.9335,135.281,134.8079,134.8863,495512.0
2019-08-26 09:45:00,134.89,134.92,134.41,134.4448,425245.0
2019-08-26 09:50:00,134.46,134.56,134.15,134.2142,388617.0
2019-08-26 09:55:00,134.2007,134.55,134.16,134.47,302174.0
2019-08-26 10:00:00,134.46,134.81,134.36,134.76,233226.0
2019-08-26 10:05:00,134.76,134.94,134.7225,134.74,202129.0
2019-08-26 10:10:00,134.75,134.76,134.35,134.38,177220.0
2019-08-26 10:15:00,134.3922,134.6165,134.2061,134.2822,268414.0
2019-08-26 10:20:00,134.2735,134.5352,134.0297,134.0335,303515.0
2019-08-26 10:25:00,134.03,134.195,133.95,134.058,213205.0
2019-08-26 10:30:00,134.055,134.6,133.98,134.5675,348981.0
2019-08-26 10:35:00,134.5706,134.7395,134.4287,134.5156,171968.0
2019-08-26 10:40:00,134.505,134.636,134.3958,134.405,188462.0
2019-08-26 10:45:00,134.3954,134.6694,134.1884,134.4754,197867.0
2019-08-26 10:50:00,134.4948,134.8852,134.4064,134.6448,345199.0
2019-08-26 10:55:00,134.62,134.85,134.6,134.76,303614.0
2019-08-26 11:00:00,134.73,134.75,134.47,134.64,153352.0
2019-08-26 11:05:00,134.64,134.88,134.54,134.82,171846.0
2019-08-26 11:10:00,134.84,134.89,134.7,134.79,199140.0
2019-08-26 11:15:00,134.58,135.09,134.51,134.98,377365.0
2019-08-26 11:20:00,134.9926,135.2063,134.746,134.7626,217514.0
2019-08-26 11:25:00,134.78,135.05,134.75,134.98,124971.0
2019-08-26 11:30:00,135.0,135.07,134.92,135.01,166899.0
2019-08-26 11:35:00,134.98,135.05,134.9,134.95,210792.0
2019-08-26 11:40:00,134.96,135.16,134.96,135.11,205300.0
2019-08-26 11:45:00,135.1,135.14,134.83,134.83,207217.0
2019-08-26 11:50:00,134.83,135.03,134.73,134.9834,176040.0
2019-08-26 11:55:00,134.99,135.0,134.83,134.88,94200.0
2019-08-26 12:00:00,134.89,135.02,134.88,134.98,115805.0
2019-08-26 12:05:00,134.99,135.01,134.87,134.91,114168.0
2019-08-26 12:10:00,134.925,135.09,134.91,134.98,129140.0
2019-08-26 12:15:00,135.01,135.1,134.93,134.93,112032.0
2019-08-26 12:20:00,134.93,135.04,134.87,134.8791,79911.0
2019-08-26 12:25:00,134.89,135.44,134.89,135.322,284409.0
2019-08-26 12:30:00,135.33,135.45,135.14,135.18,250412.0
2019-08-26 12:35:00,135.2,135.3,135.08,135.09,321296.0
2019-08-26 12:40:00,135.09,135.18,135.075,135.145,133122.0
2019-08-26 12:45:00,135.14,135.24,135.07,135.15,119713.0
2019-08-26 12:50:00,135.14,135.19,135.08,135.145,88227.0
2019-08-26 12:55:00,135.1481,135.2063,135.0575,135.2063,92033.0
2019-08-26 13:00:00,135.22,135.29,135.1,135.18,105802.0
2019-08-26 13:05:00,135.18,135.3,135.18,135.2827,149094.0
2019-08-26 13:10:00,135.29,135.32,135.18,135.28,136783.0
2019-08-26 13:15:00,135.28,135.28,135.01,135.01,126166.0
2019-08-26 13:20:00,135.02,135.07,134.89,134.96,90917.0
2019-08-26 13:25:00,134.96,135.0,134.93,134.97,98005.0
2019-08-26 13:30:00,134.98,135.03,134.95,134.99,80736.0
2019-08-26 13:35:00,135.0,135.01,134.84,134.9,90796.0
2019-08-26 13:40:00,134.91,135.0,134.9,134.9389,61678.0
2019-08-26 13:45:00,134.94,135.02,134.92,134.97,69275.0
2019-08-26 13:50:00,134.9713,135.04,134.95,135.005,84048.0
2019-08-26 13:55:00,135.01,135.04,134.93,134.945,83157.0
2019-08-26 14:00:00,134.93,134.95,134.82,134.95,144054.0
2019-08-26 14:05:00,134.95,134.99,134.73,134.755,175211.0
2019-08-26 14:10:00,134.76,134.94,134.74,134.86,227793.0
2019-08-26 14:15:00,134.86,134.875,134.79,134.83,116018.0
2019-08-26 14:20:00,134.83,134.94,134.77,134.79,144910.0
2019-08-26 14:25:00,134.792,134.91,134.73,134.82,122793.0
2019-08-26 14:30:00,134.82,134.84,134.74,134.82,93248.0
2019-08-26 14:35:00,134.82,135.07,134.77,134.89,159096.0
2019-08-26 14:40:00,134.9,134.96,134.85,134.935,85843.0
2019-08-26 14:45:00,134.9339,135.05,134.9,134.925,108985.0
2019-08-26 14:50:00,134.92,134.99,134.91,134.9335,90283.0
2019-08-26 14:55:00,134.95,135.0,134.87,134.94,94914.0
2019-08-26 15:00:00,134.93,135.01,134.86,135.0,138935.0
2019-08-26 15:05:00,134.99,135.2908,134.97,135.09,309260.0
2019-08-26 15:10:00,135.08,135.11,134.85,134.94,164794.0
2019-08-26 15:15:00,134.95,135.11,134.92,135.06,147052.0
2019-08-26 15:20:00,135.06,135.2,134.99,135.18,189591.0
2019-08-26 15:25:00,135.18,135.18,135.03,135.05,155865.0
2019-08-26 15:30:00,135.0525,135.1,134.98,134.99,181263.0
2019-08-26 15:35:00,135.0,135.15,134.99,135.03,227800.0
2019-08-26 15:40:00,135.02,135.09,134.87,134.91,193168.0
2019-08-26 15:45:00,134.9,134.94,134.7687,134.7687,180979.0
2019-08-26 15:50:00,134.76,134.92,134.76,134.85,250665.0
2019-08-26 15:55:00,134.85,135.3,134.85,135.27,579843.0
2019-08-26 16:00:00,135.27,135.57,135.22,135.54,1124779.0
2019-08-27 09:35:00,136.3944,136.6628,136.2124,136.3094,968284.0
2019-08-27 09:40:00,136.28,136.52,136.26,136.43,393579.0
2019-08-27 09:45:00,136.44,136.57,136.33,136.36,304312.0
2019-08-27 09:50:00,136.36,136.715,136.35,136.58,825827.0
2019-08-27 09:55:00,136.5955,136.8109,136.3105,136.3555,394497.0
2019-08-27 10:00:00,136.35,136.66,136.32,136.52,302276.0
2019-08-27 10:05:00,136.53,136.66,136.43,136.51,246457.0
2019-08-27 10:10:00,136.52,136.72,136.49,136.5175,196708.0
2019-08-27 10:15:00,136.53,136.64,136.4997,136.61,218445.0
2019-08-27 10:20:00,136.6206,136.67,136.415,136.49,173869.0
2019-08-27 10:25:00,136.5007,136.7014,136.2209,136.2772,215366.0
2019-08-27 10:30:00,136.26,136.265,136.11,136.12,223770.0
2019-08-27 10:35:00,136.13,136.27,136.0703,136.27,221568.0
2019-08-27 10:40:00,136.26,136.34,136.155,136.2643,131648.0
2019-08-27 10:45:00,136.27,136.37,136.245,136.345,144185.0
2019-08-27 10:50:00,136.36,136.42,136.25,136.2625,135373.0
2019-08-27 10:55:00,136.26,136.3,136.16,136.21,126733.0
2019-08-27 11:00:00,136.2,136.33,136.04,136.07,150234.0
2019-08-27 11:05:00,136.09,136.255,136.04,136.2,180027.0
2019-08-27 11:10:00,136.19,136.2356,136.06,136.06,140916.0
2019-08-27 11:15:00,136.0611,136.063,135.905,135.95,155830.0
2019-08-27 11:20:00,135.96,135.97,135.33,135.37,276807.0
2019-08-27 11:25:00,135.3596,135.6698,135.3596,135.5054,216742.0
2019-08-27 11:30:00,135.4911,135.6695,135.46,135.49,114583.0
2019-08-27 11:35:00,135.49,135.75,135.46,135.72,229811.0
2019-08-27 11:40:00,135.715,135.91,135.69,135.8397,180403.0
2019-08-27 11:45:00,135.83,135.93,135.7532,135.82,196252.0
2019-08-27 11:50:00,135.82,135.95,135.7,135.8,103409.0
2019-08-27 11:55:00,135.8,135.935,135.71,135.78,176265.0
2019-08-27 12:00:00,135.79,135.88,135.52,135.66,152267.0
2019-08-27 12:05:00,135.67,135.8,135.41,135.415,174053.0
2019-08-27 12:10:00,135.42,135.57,135.36,135.47,182331.0
2019-08-27 12:15:00,135.47,135.6,135.45,135.59,128237.0
2019-08-27 12:20:00,135.61,135.63,135.45,135.55,143749.0
2019-08-27 12:25:00,135.5283,135.68,135.505,135.6,99814.0
2019-08-27 12:30:00,135.61,135.685,135.58,135.58,106579.0
2019-08-27 12:35:00,135.57,135.64,135.23,135.27,223842.0
2019-08-27 12:40:00,135.26,135.32,135.08,135.08,136535.0
2019-08-27 12:45:00,135.0836,135.331,135.0708,135.2036,187220.0
2019-08-27 12:50:00,135.205,135.29,135.17,135.22,118225.0
2019-08-27 12:55:00,135.21,135.23,134.8,134.9,249558.0
2019-08-27 13:00:00,134.9,135.02,134.79,134.83,181709.0
2019-08-27 13:05:00,134.8054,135.1894,134.789,135.0454,228893.0
2019-08-27 13:10:00,135.03,135.18,134.91,135.0751,134257.0
2019-08-27 13:15:00,135.07,135.14,135.0,135.03,128168.0
2019-08-27 13:20:00,135.0222,135.1419,134.9428,135.0022,101373.0
2019-08-27 13:25:00,135.0,135.1,134.98,135.075,109544.0
2019-08-27 13:30:00,135.08,135.165,135.05,135.12,131334.0
2019-08-27 13:35:00,135.12,135.22,135.03,135.1401,97599.0
2019-08-27 13:40:00,135.1456,135.65,135.1456,135.4534,287728.0
2019-08-27 13:45:00,135.45,135.61,135.45,135.58,131253.0
2019-08-27 13:50:00,135.56,135.6269,135.53,135.61,118676.0
2019-08-27 13:55:00,135.6172,135.66,135.57,135.62,169535.0
2019-08-27 14:00:00,135.62,135.84,135.6,135.83,224585.0
2019-08-27 14:05:00,135.825,135.96,135.73,135.78,172652.0
2019-08-27 14:10:00,135.78,135.845,135.61,135.64,122816.0
2019-08-27 14:15:00,135.642,135.7,135.39,135.43,156161.0
2019-08-27 14:20:00,135.43,135.5718,135.36,135.55,103989.0
2019-08-27 14:25:00,135.56,135.63,135.5432,135.609,92287.0
2019-08-27 14:30:00,135.61,135.665,135.52,135.56,91411.0
2019-08-27 14:35:00,135.56,135.56,135.41,135.51,105948.0
2019-08-27 14:40:00,135.51,135.53,135.44,135.53,79029.0
2019-08-27 14:45:00,135.53,135.702,135.49,135.65,139575.0
2019-08-27 14:50:00,135.6543,135.8932,135.6455,135.7443,110290.0
2019-08-27 14:55:00,135.74,136.09,135.74,136.05,165046.0
2019-08-27 15:00:00,136.05,136.13,136.0,136.03,178516.0
2019-08-27 15:05:00,136.04,136.31,136.0001,136.2465,239108.0
2019-08-27 15:10:00,136.25,136.32,136.08,136.11,171320.0
2019-08-27 15:15:00,136.11,136.12,135.83,135.91,151380.0
2019-08-27 15:20:00,135.93,135.96,135.8,135.83,143852.0
2019-08-27 15:25:00,135.82,135.82,135.52,135.61,211990.0
2019-08-27 15:30:00,135.62,135.67,135.45,135.47,154645.0
2019-08-27 15:35:00,135.47,135.54,135.35,135.51,218408.0
2019-08-27 15:40:00,135.5,135.61,135.38,135.6,193479.0
2019-08-27 15:45:00,135.61,135.75,135.4801,135.51,216825.0
2019-08-27 15:50:00,135.51,135.78,135.49,135.71,241225.0
2019-08-27 15:55:00,135.715,135.72,135.335,135.415,361832.0
2019-08-27 16:00:00,135.4,135.96,135.16,135.75,1513105.0
2019-08-28 09:35:00,134.92,135.04,134.08,134.17,816729.0
2019-08-28 09:40:00,134.175,134.3558,133.7212,133.785,701848.0
2019-08-28 09:45:00,133.6954,134.3259,133.6779,134.1354,507717.0
2019-08-28 09:50:00,134.1448,134.3588,134.0744,134.1448,331747.0
2019-08-28 09:55:00,134.13,134.34,134.05,134.23,316245.0
2019-08-28 10:00:00,134.25,134.5,134.25,134.43,294155.0
2019-08-28 10:05:00,134.42,134.46,134.18,134.19,317423.0
2019-08-28 10:10:00,134.18,134.85,134.18,134.76,344483.0
2019-08-28 10:15:00,134.77,134.85,134.56,134.68,225293.0
2019-08-28 10:20:00,134.665,134.74,134.41,134.45,169276.0
2019-08-28 10:25:00,134.46,134.49,134.34,134.46,153933.0
2019-08-28 10:30:00,134.4501,134.55,134.3611,134.43,128545.0
2019-08-28 10:35:00,134.435,134.79,134.42,134.53,268963.0
2019-08-28 10:40:00,134.52,134.7,134.47,134.5,214930.0
2019-08-28 10:45:00,134.505,134.965,134.4542,134.86,256354.0
2019-08-28 10:50:00,134.86,134.89,134.73,134.8156,197832.0
2019-08-28 10:55:00,134.82,135.05,134.8,134.9933,281480.0
2019-08-28 11:00:00,134.98,135.01,134.87,134.88,79501.0
2019-08-28 11:05:00,134.915,134.9423,134.6603,134.72,179725.0
2019-08-28 11:10:00,134.755,134.8,134.64,134.775,171508.0
2019-08-28 11:15:00,134.78,134.81,134.6059,134.6666,120943.0
2019-08-28 11:20:00,134.665,134.74,134.57,134.615,164329.0
2019-08-28 11:25:00,134.62,135.005,134.58,134.8832,314543.0
2019-08-28 11:30:00,134.88,135.08,134.83,135.02,196947.0
2019-08-28 11:35:00,135.01,135.26,135.01,135.0457,190884.0
2019-08-28 11:40:00,135.06,135.13,134.93,135.045,362364.0
2019-08-28 11:45:00,135.055,135.27,135.01,135.19,157443.0
2019-08-28 11:50:00,135.21,135.298,135.14,135.1868,123778.0
2019-08-28 11:55:00,135.19,135.28,135.1469,135.275,146145.0
2019-08-28 12:00:00,135.28,135.3,135.08,135.1,167180.0
2019-08-28 12:05:00,135.11,135.195,135.11,135.1925,147126.0
2019-08-28 12:10:00,135.19,135.255,135.1768,135.19,84631.0
2019-08-28 12:15:00,135.19,135.195,135.04,135.05,107949.0
2019-08-28 12:20:00,135.06,135.27,135.05,135.2651,101575.0
2019-08-28 12:25:00,135.2625,135.315,135.18,135.2,129999.0
2019-08-28 12:30:00,135.2,135.22,135.075,135.12,91169.0
2019-08-28 12:35:00,135.12,135.19,135.11,135.13,93971.0
2019-08-28 12:40:00,135.14,135.18,134.97,134.9876,145999.0
2019-08-28 12:45:00,134.99,135.02,134.925,134.925,78361.0
2019-08-28 12:50:00,134.9289,134.975,134.89,134.9156,146014.0
2019-08-28 12:55:00,134.92,135.14,134.87,135.09,175192.0
2019-08-28 13:00:00,135.09,135.21,135.05,135.17,154122.0
2019-08-28 13:05:00,135.1841,135.3127,135.1725,135.1793,144179.0
2019-08-28 13:10:00,135.18,135.26,135.1,135.1368,160104.0
2019-08-28 13:15:00,135.14,135.26,134.95,134.97,258855.0
2019-08-28 13:20:00,134.96,135.13,134.93,135.1251,76103.0
2019-08-28 13:25:00,135.12,135.2377,135.12,135.17,90111.0
2019-08-28 13:30:00,135.19,135.23,135.15,135.215,69832.0
2019-08-28 13:35:00,135.2227,135.3865,135.2163,135.2827,111914.0
2019-08-28 13:40:00,135.2763,135.39,135.25,135.3458,121905.0
2019-08-28 13:45:00,135.34,135.3699,135.25,135.26,71920.0
2019-08-28 13:50:00,135.27,135.39,135.2,135.35,105054.0
2019-08-28 13:55:00,135.38,135.39,135.2,135.21,94848.0
2019-08-28 14:00:00,135.22,135.26,135.12,135.2,88879.0
2019-08-28 14:05:00,135.2,135.27,135.17,135.2,84124.0
2019-08-28 14:10:00,135.2,135.23,135.16,135.195,67799.0
2019-08-28 14:15:00,135.1901,135.24,135.13,135.14,87706.0
