ds,Open,High,Low,Close,Volume
2019-08-28 14:20:00,135.14,135.2,135.105,135.18,68830.0
2019-08-28 14:25:00,135.18,135.2375,135.11,135.19,69728.0
2019-08-28 14:30:00,135.19,135.28,135.15,135.19,112268.0
2019-08-28 14:35:00,135.2,135.41,135.18,135.39,144398.0
2019-08-28 14:40:00,135.4,135.45,135.3033,135.36,111511.0
2019-08-28 14:45:00,135.36,135.43,135.33,135.3367,79844.0
2019-08-28 14:50:00,135.34,135.59,135.3301,135.5579,130451.0
2019-08-28 14:55:00,135.56,135.63,135.51,135.5787,108271.0
2019-08-28 15:00:00,135.57,135.59,135.51,135.59,96318.0
2019-08-28 15:05:00,135.58,135.58,135.49,135.5028,109185.0
2019-08-28 15:10:00,135.51,135.63,135.5039,135.6143,133333.0
2019-08-28 15:15:00,135.6203,135.7668,135.6066,135.6177,121216.0
2019-08-28 15:20:00,135.61,135.76,135.49,135.745,271032.0
2019-08-28 15:25:00,135.73,135.74,135.41,135.45,232561.0
2019-08-28 15:30:00,135.45,135.495,135.405,135.44,116332.0
2019-08-28 15:35:00,135.4449,135.6309,135.3957,135.4049,232182.0
2019-08-28 15:40:00,135.41,135.51,135.39,135.43,166540.0
2019-08-28 15:45:00,135.4222,135.5873,135.3571,135.3722,231256.0
2019-08-28 15:50:00,135.3635,135.545,135.35,135.5,200888.0
2019-08-28 15:55:00,135.4957,135.57,135.39,135.4522,333648.0
2019-08-28 16:00:00,135.45,135.6,135.34,135.55,658989.0
2019-08-29 09:35:00,137.0989,138.15,137.07,137.97,1398781.0
2019-08-29 09:40:00,137.98,138.3,137.94,137.95,713046.0
2019-08-29 09:45:00,137.96,138.16,137.83,137.95,460379.0
2019-08-29 09:50:00,137.955,138.2801,137.955,138.21,415328.0
2019-08-29 09:55:00,138.22,138.36,138.16,138.2,281426.0
2019-08-29 10:00:00,138.21,138.23,137.92,137.99,332199.0
2019-08-29 10:05:00,137.98,138.12,137.81,137.9,453984.0
2019-08-29 10:10:00,137.91,138.17,137.905,138.07,281151.0
2019-08-29 10:15:00,138.0755,138.2023,137.882,137.9455,250111.0
2019-08-29 10:20:00,137.94,137.98,137.82,137.9,193191.0
2019-08-29 10:25:00,137.8919,138.09,137.87,137.93,284113.0
2019-08-29 10:30:00,137.92,138.05,137.91,137.96,219677.0
2019-08-29 10:35:00,137.96,137.99,137.78,137.89,201543.0
2019-08-29 10:40:00,137.8845,138.0542,137.0432,137.2344,821819.0
2019-08-29 10:45:00,137.23,137.59,137.1701,137.38,236299.0
2019-08-29 10:50:00,137.35,137.42,137.11,137.2079,190560.0
2019-08-29 10:55:00,137.205,137.4,137.2,137.39,200362.0
2019-08-29 11:00:00,137.38,137.65,137.33,137.62,141128.0
2019-08-29 11:05:00,137.6006,137.65,137.54,137.615,95376.0
2019-08-29 11:10:00,137.62,137.72,137.593,137.68,177080.0
2019-08-29 11:15:00,137.68,137.899,137.67,137.899,141445.0
2019-08-29 11:20:00,137.9,137.91,137.81,137.87,89914.0
2019-08-29 11:25:00,137.88,137.98,137.8,137.945,145888.0
2019-08-29 11:30:00,137.95,138.02,137.86,137.94,170565.0
2019-08-29 11:35:00,137.95,138.11,137.93,138.11,879876.0
2019-08-29 11:40:00,138.12,138.198,138.1,138.12,174762.0
2019-08-29 11:45:00,138.13,138.18,138.1,138.135,119453.0
2019-08-29 11:50:00,138.14,138.2,138.09,138.17,117382.0
2019-08-29 11:55:00,138.17,138.1798,138.09,138.11,114062.0
2019-08-29 12:00:00,138.12,138.13,137.95,138.02,165884.0
2019-08-29 12:05:00,137.975,138.04,137.86,137.99,175393.0
2019-08-29 12:10:00,137.99,138.05,137.95,137.98,135195.0
2019-08-29 12:15:00,137.98,138.13,137.96,138.11,187946.0
2019-08-29 12:20:00,138.1099,138.1525,138.1,138.14,104900.0
2019-08-29 12:25:00,138.135,138.2,138.12,138.17,227611.0
2019-08-29 12:30:00,138.17,138.175,138.08,138.1,145309.0
2019-08-29 12:35:00,138.1,138.275,138.06,138.27,246323.0
2019-08-29 12:40:00,138.27,138.36,138.26,138.35,199779.0
2019-08-29 12:45:00,138.3448,138.42,138.25,138.2635,181161.0
2019-08-29 12:50:00,138.26,138.32,138.18,138.2428,162196.0
2019-08-29 12:55:00,138.255,138.3784,138.1382,138.155,157563.0
2019-08-29 13:00:00,138.16,138.23,138.14,138.14,88622.0
2019-08-29 13:05:00,138.14,138.1838,138.06,138.17,98899.0
2019-08-29 13:10:00,138.175,138.19,138.09,138.1042,103694.0
2019-08-29 13:15:00,138.104,138.16,138.09,138.12,88919.0
2019-08-29 13:20:00,138.12,138.26,138.1,138.237,100673.0
2019-08-29 13:25:00,138.236,138.29,138.18,138.26,87164.0
2019-08-29 13:30:00,138.26,138.28,138.13,138.13,108937.0
2019-08-29 13:35:00,138.15,138.18,138.09,138.11,74209.0
2019-08-29 13:40:00,138.11,138.38,138.1,138.37,120366.0
2019-08-29 13:45:00,138.36,138.41,138.28,138.325,137637.0
2019-08-29 13:50:00,138.33,138.35,138.23,138.24,86897.0
2019-08-29 13:55:00,138.245,138.33,138.17,138.31,143331.0
2019-08-29 14:00:00,138.31,138.37,138.2,138.24,96973.0
2019-08-29 14:05:00,138.24,138.37,138.235,138.37,123732.0
2019-08-29 14:10:00,138.37,138.44,138.3,138.3699,132580.0
2019-08-29 14:15:00,138.37,138.377,138.31,138.32,74155.0
2019-08-29 14:20:00,138.32,138.38,138.07,138.14,198721.0
2019-08-29 14:25:00,138.1273,138.24,138.1,138.22,89828.0
2019-08-29 14:30:00,138.225,138.3176,138.21,138.265,85976.0
2019-08-29 14:35:00,138.26,138.3134,138.22,138.29,118802.0
2019-08-29 14:40:00,138.3,138.31,138.185,138.25,152213.0
2019-08-29 14:45:00,138.245,138.295,138.12,138.15,159460.0
2019-08-29 14:50:00,138.16,138.169,138.05,138.15,153130.0
2019-08-29 14:55:00,138.155,138.18,138.04,138.05,111314.0
2019-08-29 15:00:00,138.05,138.13,138.05,138.09,90396.0
2019-08-29 15:05:00,138.1,138.11,137.915,137.94,208100.0
2019-08-29 15:10:00,137.95,138.0298,137.85,137.875,190179.0
2019-08-29 15:15:00,137.88,137.93,137.86,137.9,100985.0
2019-08-29 15:20:00,137.89,138.06,137.885,138.0,138899.0
2019-08-29 15:25:00,137.99,137.99,137.84,137.91,199214.0
2019-08-29 15:30:00,137.9008,137.94,137.69,137.73,209319.0
2019-08-29 15:35:00,137.73,137.89,137.73,137.89,195242.0
2019-08-29 15:40:00,137.89,138.03,137.865,138.015,255627.0
2019-08-29 15:45:00,138.02,138.05,137.98,138.0056,142027.0
2019-08-29 15:50:00,138.0,138.16,137.96,138.11,256532.0
2019-08-29 15:55:00,138.1077,138.3,137.98,138.05,419915.0
2019-08-29 16:00:00,138.06,138.25,137.91,138.16,855315.0
2019-08-30 09:35:00,138.9,138.9,138.56,138.61,927293.0
2019-08-30 09:40:00,138.6242,138.8889,138.4446,138.7395,331922.0
2019-08-30 09:45:00,138.74,138.86,138.48,138.4922,226069.0
2019-08-30 09:50:00,138.5158,138.7934,138.5131,138.6481,179234.0
2019-08-30 09:55:00,138.64,138.795,138.59,138.6644,229070.0
2019-08-30 10:00:00,138.67,138.71,138.29,138.42,244219.0
2019-08-30 10:05:00,138.41,138.59,138.31,138.4408,216463.0
2019-08-30 10:10:00,138.44,138.512,138.32,138.3587,184598.0
2019-08-30 10:15:00,138.3502,138.4063,137.91,137.965,279938.0
2019-08-30 10:20:00,137.96,138.06,137.87,137.945,211408.0
2019-08-30 10:25:00,137.94,137.97,137.681,137.78,267920.0
2019-08-30 10:30:00,137.78,137.85,137.54,137.65,298436.0
2019-08-30 10:35:00,137.64,137.94,137.63,137.81,200212.0
2019-08-30 10:40:00,137.8089,137.88,137.6967,137.83,138194.0
2019-08-30 10:45:00,137.835,137.91,137.74,137.845,147701.0
2019-08-30 10:50:00,137.84,137.94,137.7199,137.92,216184.0
2019-08-30 10:55:00,137.92,137.92,137.68,137.77,161425.0
2019-08-30 11:00:00,137.78,137.92,137.69,137.69,136708.0
2019-08-30 11:05:00,137.68,137.78,137.06,137.085,336221.0
2019-08-30 11:10:00,137.09,137.1602,136.96,136.98,265024.0
2019-08-30 11:15:00,136.9755,137.06,136.61,136.72,278898.0
2019-08-30 11:20:00,136.73,136.84,136.42,136.54,339054.0
2019-08-30 11:25:00,136.54,136.6,136.34,136.4,239512.0
2019-08-30 11:30:00,136.4155,136.7909,136.4005,136.6055,267063.0
2019-08-30 11:35:00,136.6,136.97,136.6,136.93,229515.0
2019-08-30 11:40:00,136.93,136.99,136.82,136.98,146557.0
2019-08-30 11:45:00,136.9772,137.1,136.92,137.0965,137009.0
2019-08-30 11:50:00,137.1,137.29,137.1,137.225,204840.0
2019-08-30 11:55:00,137.22,137.27,137.07,137.07,119104.0
2019-08-30 12:00:00,137.08,137.21,136.98,137.08,155910.0
2019-08-30 12:05:00,137.1,137.16,137.0,137.01,113230.0
2019-08-30 12:10:00,136.99,137.14,136.81,136.89,166916.0
2019-08-30 12:15:00,136.88,137.19,136.85,137.08,174104.0
2019-08-30 12:20:00,137.075,137.25,137.06,137.24,106643.0
2019-08-30 12:25:00,137.24,137.26,137.125,137.14,105622.0
2019-08-30 12:30:00,137.15,137.24,137.15,137.2002,70527.0
2019-08-30 12:35:00,137.21,137.24,137.05,137.17,125152.0
2019-08-30 12:40:00,137.17,137.17,137.07,137.097,61794.0
2019-08-30 12:45:00,137.095,137.12,137.02,137.06,75097.0
2019-08-30 12:50:00,137.06,137.1,137.02,137.055,90438.0
2019-08-30 12:55:00,137.0594,137.3035,137.0532,137.1603,118530.0
2019-08-30 13:00:00,137.16,137.28,137.16,137.16,123601.0
2019-08-30 13:05:00,137.16,137.26,137.12,137.125,95190.0
2019-08-30 13:10:00,137.13,137.14,137.02,137.0959,71613.0
2019-08-30 13:15:00,137.09,137.1,137.015,137.065,50907.0
2019-08-30 13:20:00,137.07,137.07,136.95,137.05,113438.0
2019-08-30 13:25:00,137.05,137.14,137.025,137.045,78003.0
2019-08-30 13:30:00,137.05,137.104,137.02,137.05,79785.0
2019-08-30 13:35:00,137.047,137.12,137.035,137.0866,53972.0
2019-08-30 13:40:00,137.09,137.09,136.99,137.01,87198.0
2019-08-30 13:45:00,137.0,137.0198,136.94,136.9524,56057.0
2019-08-30 13:50:00,136.955,137.1103,136.955,137.1,80319.0
2019-08-30 13:55:00,137.0989,137.11,137.06,137.0968,60708.0
2019-08-30 14:00:00,137.09,137.15,137.06,137.11,175120.0
2019-08-30 14:05:00,137.11,137.205,137.085,137.11,146377.0
2019-08-30 14:10:00,137.105,137.19,137.02,137.19,115450.0
2019-08-30 14:15:00,137.195,137.26,137.17,137.2061,121757.0
2019-08-30 14:20:00,137.21,137.3,137.16,137.245,166397.0
2019-08-30 14:25:00,137.25,137.25,137.17,137.21,97594.0
2019-08-30 14:30:00,137.21,137.33,137.205,137.32,129526.0
2019-08-30 14:35:00,137.325,137.37,137.11,137.155,281583.0
2019-08-30 14:40:00,137.15,137.16,136.98,137.02,171726.0
2019-08-30 14:45:00,137.0257,137.2019,136.9967,137.0457,167650.0
2019-08-30 14:50:00,137.03,137.03,136.79,136.79,208235.0
2019-08-30 14:55:00,136.789,136.87,136.71,136.8,210269.0
2019-08-30 15:00:00,136.8,136.95,136.78,136.9,160446.0
2019-08-30 15:05:00,136.9049,137.1223,136.807,136.8299,278590.0
2019-08-30 15:10:00,136.83,136.89,136.79,136.805,143463.0
2019-08-30 15:15:00,136.81,136.83,136.71,136.79,303828.0
2019-08-30 15:20:00,136.7919,136.85,136.66,136.72,206182.0
2019-08-30 15:25:00,136.72,136.87,136.72,136.84,146499.0
2019-08-30 15:30:00,136.85,137.0763,136.85,137.03,178155.0
2019-08-30 15:35:00,137.04,137.14,137.0,137.1301,222467.0
2019-08-30 15:40:00,137.14,137.25,137.11,137.2099,235860.0
2019-08-30 15:45:00,137.205,137.28,137.14,137.23,190293.0
2019-08-30 15:50:00,137.23,137.27,137.1524,137.2,331307.0
2019-08-30 15:55:00,137.21,137.37,137.15,137.26,969391.0
2019-08-30 16:00:00,137.26,137.98,137.26,137.92,2955211.0
2019-09-03 09:35:00,136.4892,137.0727,136.4721,136.8237,1059760.0
2019-09-03 09:40:00,136.82,137.2,136.82,136.94,357013.0
2019-09-03 09:45:00,136.95,137.03,136.68,136.78,240388.0
2019-09-03 09:50:00,136.7955,137.1513,136.6808,136.7255,264784.0
2019-09-03 09:55:00,136.73,137.1418,136.72,137.045,226103.0
2019-09-03 10:00:00,137.06,137.13,136.85,137.05,192367.0
2019-09-03 10:05:00,137.04,137.04,136.14,136.25,636194.0
2019-09-03 10:10:00,136.2444,136.4526,136.0122,136.0544,454677.0
2019-09-03 10:15:00,136.0564,136.24,135.94,135.98,293980.0
2019-09-03 10:20:00,135.9857,136.321,135.9807,136.1617,217833.0
2019-09-03 10:25:00,136.155,136.27,136.06,136.11,145441.0
2019-09-03 10:30:00,136.1205,136.6908,136.1103,136.5555,303294.0
2019-09-03 10:35:00,136.5599,136.57,136.28,136.34,193316.0
2019-09-03 10:40:00,136.3693,136.6639,136.3436,136.4543,198360.0
2019-09-03 10:45:00,136.44,137.0,136.39,136.7392,401016.0
2019-09-03 10:50:00,136.73,136.96,136.6,136.72,151938.0
2019-09-03 10:55:00,136.72,136.84,136.6,136.66,156542.0
2019-09-03 11:00:00,136.68,136.8,136.62,136.75,196450.0
2019-09-03 11:05:00,136.75,136.77,136.595,136.65,131329.0
2019-09-03 11:10:00,136.62,136.74,136.46,136.51,281516.0
2019-09-03 11:15:00,136.51,136.53,136.15,136.21,289971.0
2019-09-03 11:20:00,136.19,136.43,136.11,136.41,156443.0
2019-09-03 11:25:00,136.41,136.51,136.35,136.48,130101.0
2019-09-03 11:30:00,136.4843,136.6639,136.3837,136.4243,294915.0
2019-09-03 11:35:00,136.4149,136.7269,136.3165,136.5149,262413.0
2019-09-03 11:40:00,136.52,136.6501,136.5,136.57,227146.0
2019-09-03 11:45:00,136.562,136.61,136.45,136.48,134833.0
2019-09-03 11:50:00,136.48,136.8,136.43,136.8,196060.0
2019-09-03 11:55:00,136.805,136.805,136.67,136.695,105675.0
2019-09-03 12:00:00,136.68,136.69,136.52,136.57,112205.0
2019-09-03 12:05:00,136.57,136.68,136.48,136.63,116987.0
2019-09-03 12:10:00,136.62,136.62,136.32,136.39,128339.0
2019-09-03 12:15:00,136.41,136.49,136.36,136.47,134806.0
2019-09-03 12:20:00,136.48,136.49,136.36,136.45,114890.0
2019-09-03 12:25:00,136.45,136.5199,136.325,136.325,94449.0
2019-09-03 12:30:00,136.33,136.41,136.29,136.37,89437.0
2019-09-03 12:35:00,136.3872,136.5031,136.328,136.3422,139225.0
2019-09-03 12:40:00,136.345,136.47,136.3,136.41,79099.0
2019-09-03 12:45:00,136.42,136.45,136.345,136.38,67735.0
2019-09-03 12:50:00,136.38,136.56,136.34,136.515,123284.0
2019-09-03 12:55:00,136.49,136.49,136.2,136.28,120702.0
2019-09-03 13:00:00,136.27,136.43,136.26,136.36,101088.0
2019-09-03 13:05:00,136.36,136.51,136.33,136.34,75484.0
2019-09-03 13:10:00,136.3343,136.5338,136.2535,136.2786,140418.0
2019-09-03 13:15:00,136.28,136.32,136.16,136.305,81158.0
2019-09-03 13:20:00,136.3,136.32,136.2,136.26,99395.0
2019-09-03 13:25:00,136.26,136.26,136.11,136.165,85859.0
2019-09-03 13:30:00,136.1602,136.28,136.145,136.21,101032.0
2019-09-03 13:35:00,136.22,136.22,136.05,136.09,139268.0
2019-09-03 13:40:00,136.09,136.1,135.98,136.045,174105.0
2019-09-03 13:45:00,136.0477,136.07,135.89,135.9701,157662.0
2019-09-03 13:50:00,135.97,136.02,135.86,135.935,186702.0
2019-09-03 13:55:00,135.93,135.9484,135.71,135.74,194111.0
2019-09-03 14:00:00,135.74,135.86,135.73,135.7301,129253.0
2019-09-03 14:05:00,135.73,136.01,135.7,135.96,141559.0
2019-09-03 14:10:00,135.9599,135.97,135.9,135.925,68481.0
2019-09-03 14:15:00,135.925,136.01,135.88,135.92,118204.0
2019-09-03 14:20:00,135.915,135.94,135.775,135.81,122769.0
2019-09-03 14:25:00,135.8118,135.95,135.755,135.7662,129524.0
2019-09-03 14:30:00,135.77,135.91,135.76,135.89,126511.0
2019-09-03 14:35:00,135.88,135.94,135.85,135.87,128445.0
2019-09-03 14:40:00,135.875,136.02,135.87,136.0065,137829.0
2019-09-03 14:45:00,136.005,136.04,135.95,135.995,94723.0
2019-09-03 14:50:00,135.9933,136.005,135.91,135.985,97837.0
2019-09-03 14:55:00,135.99,136.09,135.9,135.985,128378.0
2019-09-03 15:00:00,135.99,135.99,135.88,135.94,202005.0
2019-09-03 15:05:00,135.932,135.99,135.81,135.83,235770.0
2019-09-03 15:10:00,135.82,135.92,135.82,135.91,116430.0
2019-09-03 15:15:00,135.91,135.94,135.85,135.885,129776.0
2019-09-03 15:20:00,135.88,136.03,135.85,136.0199,169341.0
2019-09-03 15:25:00,136.02,136.2262,136.015,136.175,210929.0
2019-09-03 15:30:00,136.16,136.2167,136.13,136.185,149734.0
2019-09-03 15:35:00,136.19,136.2599,136.1,136.15,229825.0
2019-09-03 15:40:00,136.155,136.16,136.0337,136.08,182614.0
2019-09-03 15:45:00,136.09,136.14,135.96,136.005,279699.0
2019-09-03 15:50:00,136.01,136.29,136.005,136.1516,308975.0
2019-09-03 15:55:00,136.16,136.33,136.145,136.3003,518042.0
2019-09-03 16:00:00,136.31,136.31,136.03,136.12,947400.0
2019-09-04 09:35:00,137.3027,137.4281,137.0478,137.0517,1095095.0
2019-09-04 09:40:00,137.06,137.32,136.88,136.989,448441.0
2019-09-04 09:45:00,136.9951,137.3836,136.9782,137.0451,332217.0
2019-09-04 09:50:00,137.07,137.36,137.06,137.205,370887.0
2019-09-04 09:55:00,137.2449,137.422,137.1473,137.1549,265134.0
2019-09-04 10:00:00,137.14,137.17,137.05,137.09,142232.0
2019-09-04 10:05:00,137.0,137.08,136.93,136.99,417329.0
2019-09-04 10:10:00,137.0,137.1199,136.75,136.8,284949.0
2019-09-04 10:15:00,136.7927,136.9147,136.5874,136.5877,292066.0
2019-09-04 10:20:00,136.5816,136.81,136.57,136.8,189432.0
2019-09-04 10:25:00,136.805,136.89,136.73,136.81,162313.0
2019-09-04 10:30:00,136.82,136.99,136.79,136.975,158103.0
2019-09-04 10:35:00,136.97,137.1,136.94,137.05,177558.0
2019-09-04 10:40:00,137.055,137.09,136.98,137.01,171122.0
2019-09-04 10:45:00,137.02,137.05,136.89,136.94,198522.0
2019-09-04 10:50:00,136.93,137.0501,136.91,137.04,120848.0
2019-09-04 10:55:00,137.0449,137.07,136.955,137.0081,115751.0
2019-09-04 11:00:00,137.0,137.05,136.92,137.02,162831.0
2019-09-04 11:05:00,137.03,137.14,137.03,137.08,195472.0
2019-09-04 11:10:00,137.08,137.13,137.0134,137.11,225302.0
2019-09-04 11:15:00,137.11,137.1151,136.99,137.04,191002.0
2019-09-04 11:20:00,137.04,137.075,136.99,136.99,145182.0
2019-09-04 11:25:00,136.98,137.055,136.96,136.97,150384.0
2019-09-04 11:30:00,136.98,137.165,136.94,137.145,173458.0
2019-09-04 11:35:00,137.14,137.26,137.12,137.2,302844.0
2019-09-04 11:40:00,137.2029,137.3232,137.2029,137.29,201103.0
2019-09-04 11:45:00,137.3,137.39,137.29,137.34,213832.0
2019-09-04 11:50:00,137.35,137.425,137.27,137.3139,154861.0
2019-09-04 11:55:00,137.32,137.3506,137.26,137.325,102482.0
2019-09-04 12:00:00,137.33,137.37,137.28,137.32,74945.0
2019-09-04 12:05:00,137.32,137.47,137.32,137.4349,138922.0
2019-09-04 12:10:00,137.44,137.46,137.39,137.4049,85657.0
2019-09-04 12:15:00,137.41,137.48,137.37,137.4431,116879.0
2019-09-04 12:20:00,137.441,137.455,137.12,137.2,202288.0
2019-09-04 12:25:00,137.2,137.21,137.09,137.125,120657.0
2019-09-04 12:30:00,137.125,137.15,137.08,137.0949,83623.0
2019-09-04 12:35:00,137.093,137.15,137.015,137.03,98562.0
